Kullanici,Tarih,Puan,Yorum,Marka,Urun,Kaynak_Dosya
Y** A**,1717790598576,3,Paketleme güzeldi rengide güzel görünüyor ama daha kullanmadım umarım. Güzeldir,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
C** Y**,1766690273410,5,güzel memnun kaldım,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1693912331911,4,ürünün kapaticiligi aşırı güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1710855560984,5,çok güzel bayıldım,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
o** k**,1745777690201,5,çok güzel çok beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
E** k**,1741943988567,5,çok güzel  çok beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1767561645000,5,çok güzel alın aldırın,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Ayşe D.,1746817197006,5,çok güzel  beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
M** T**,1707508721383,5,Severek kullanıyorum 🫶,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
D** E** A**,1701183328643,4,Uygun fiyatlı güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
S** i**,1688979261978,3,uygun fiyatli güzel ürün,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
S** K**,1762294040937,4,arkadaşımdan görerek almıştım ama biraz daha kuru ciltli biri olarak çok iyi gelmedi bana ama fena değil yani günlük kullanım için iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1701279208127,5,Çok guzel  begendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
S** Ö**,1757515372058,5,güzel ürün teşekkürler,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1726977480422,5,fiyatına göre güzel kullanışlı kiizma aldım beyendi ilk siparişim kırık geldi iade ettik ikinci kez aldık,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1721825257045,5,Çok beğendimmm,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1721472246042,5,kargom geldi  çok güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
E** K**,1763067411054,4,Dağılması ve kapatıcılığı iyi ama biraz kalıp gibi duruyor hediye için teşekkür ederim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Neslihan P.,1717365009725,2,Çok yoğun ruh gibi gezmek istiyorsanız alabilirsiniz,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1699631189407,5,Fiyat performans ürünüdür. Kapatıcılığı çok iyidir. Kırmızı bir teniniz var ise küllü alt tonu tercih edin. Nars mimvalinde diyebilirim.,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1738161676993,5,Severek kullanıyorum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
M** Ç**,1719867799656,5,cok iyi cok iyi iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Sevilay A.,1738186184285,5,güzel  beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
g** a**,1686934301633,4,sevdim guzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
G** A** K**,1775224123759,5,çok çok beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1741991494398,5,Çok severek kullanıyorum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
N** B**,1686665258360,4,iyi kapatıyor,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
m** k**,1706642862762,5,Çok hızlı geldi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1691160295534,5,bu fiyata bu kalite.gerçekten bu kadar iyi olmasını  beklemiyordum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
C** K**,1721633892137,2,cok yogunn,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
h** y**,1713083996967,4,kapaticigili güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1756614244515,5,güzel beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Derya T.,1747056096111,5,güzel geldi teşekkürler,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Z** t**,1725981369518,4,Beyaz tenliler için koyu maalesef,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1689068465999,5,beğenerek kullaniyorum.,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
D** A**,1687103624265,5,5yıldız veriyorum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1762713069415,5,Daha önce de kullandığım üründü memnunum ve fiyatı da çok iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
A** K**,1769784139589,5,Harika bir fondoten pahalıya bin basar,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1748274049733,5,bayılıyorum efsane bir ürün 🌸,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1716668303043,5,Bayıldımmmmm,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1737761512963,5,çok iyi kapatici,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
n** a**,1693494468492,5,begendim guzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
S** I**,1717426209836,5,"Çok iyi,memnun kaldım",Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
M** K**,1735323005289,5,Yoğun kapatıcı bir basması bile bütün yüze miss gibi dağılıyor fakat yüzü çok iyi nemlendirmek gerekiyor bir de oksitlenme ile birlikte bir tık rengi koyulaşıyor benim giibi çok açık renkliyseniz fark ediliyor fondoten,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
M** K**,1716398736722,4,kapaticiligi fena degil alinir,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
M** P**,1706728818084,5,beğendim kapaticiligi baya yüksek,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
R** H**,1720132652178,5,çok beğendim çok tatlı,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
A** S**,1692787584855,5,Fiyat performans ürünü olarak iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
S** A**,1752892772694,5,kullandığım en iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
ayşe c.,1769103666913,5,güzel kargolanmıştı ve sağlam geldi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1774907112068,5,ürün çok çabuk elime ulaştı çok iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1739375979316,5,yüzümde güzel oldu,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1694806247422,4,gayet güzel ürün,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1765009229891,5,be baya beğeniyorum çok güzel bence,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
E** ş**,1706957968944,4,güzel  kapaticiligini pek göremedim ama çok güzel kokuyo,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1772967727023,5,Çok iyi kesinlikle alın aldırın,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Ö** E**,1776897570678,5,O kadar güzel sarmışlar ki paketi açamadım :) açıp kullanamadım :)) hızlı teslimat ve gerçekten fiyatına göre çok iyi 2.siparişimdi bu çok memnunum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1729895410612,5,kapaticiligi süper,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
N** Ö**,1744061680687,5,begendim güzel fiyatına göre gayet iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Arnisa A.,1685813220843,3,Güzel bir ürün kötü değil dokusu falan beğendim sadece biraz gözeneklerime doldu oda belki benden kaynaklıda olabilir bilmiyorum ama genel anlamda güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
s** b**,1742661226705,5,kullanıyorum ıyı,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
5**,1767811477031,5,Çok iyi kullanışlı,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
E** N** Y**,1685042414647,4,Her zaman severek kullandığım bir ürün pahalı kaliteli ürünlere bin basar çok farklı ürünler kullandım pahalı ürünlerde aldım ama onlara göre bile daha güzel ve kaliteli alın aldırın💗💕,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
H** b**,1716049243562,2,kapaticiligi güzel ama rendi 01 ve ona rağmen bana köyü geldi geri iade ettim buğday tenli olanlar güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1701961752706,5,But fiyata boyle guzel kapatan baska bi urun yok tavsiye ederim herkese,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
İ** Ç**,1712233040472,5,Hızlı güvenilir hasarsız teşekkürler.,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Z** ç**,1740085736586,4,güzel  harika,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
NESLİHAN E.,1731094815592,5,deneyince güncelleyecem  güzel paketleme,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1762972361777,5,çok güzel geldi teşekkürler,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
A** M**,1756543960860,4,güzel begendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1731693771190,4,gayet güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1711652799552,4,gayet güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1704322386438,5,gayet güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
a** c**,1727847513390,4,güzel ben beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Ş** B**,1704721574648,4,Beklentimi karşıladı,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
m** Ö**,1775211523526,5,teşekkür ederim aynısı geldi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Kübra ş.,1696797732616,5,beğendim daha öncede kullandım,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
C** A** A**,1769862438319,5,Sürekli kullandığım ürün. Memnun kaldım. 🌸,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
z** d**,1754387886296,3,ideal kullanılır kullanımdan önce iyi nemlendimek baz uygulamanması önemli,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Z** D**,1716572449971,5,çok güzel kaliteli,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
G** G**,1740373236894,5,çok iyi bayıldımm,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
z** u**,1739869281356,5,beğenerek kullanıyorum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1767450141697,5,bayıldım çok güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1762586230398,5,güzel beğendim kapatıcılar güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1725291794117,4,ürün güzel geldi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1773919906497,5,Çok iyi mükemmel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
M** R**,1745946589701,4,esim sevdi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
S** Y**,1747813861438,5,stok yapmıştım onca eleştiriye rağmen sevdiğim tek fondöten,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
i** o**,1686742766682,1,en açık rengi bile çok koyu,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1686045460490,4,Süreli 10 dk oldu yüzüme oturdu filtreli gibi gösterdi gün içinde kusmazsa oksitlenme yapmazsa favorim olabilir,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1762175038308,5,kargo sağlam geldi suyla yıkayınca çıkmıyor kalıcı bir fondöten öneririm,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
C** T**,1773757329826,5,sağlam doğru geldi teşekkürler,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Zeynep A.,1773875342228,5,mükemmel kalite 🌸🌸🌸,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1709228264029,4,biraz daha fazla beyaz,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
h** b**,1776767063433,5,harika ♥️ çok güzel hızlı gldi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
C** s** G**,1763721616228,5,Çok güzel çok beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
F** S**,1712080313307,5,Fp ürünü nekadar kaliteli bilinmez ama çok beğendiğim bi ürün,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1779467574322,5,cokkkkkkkkkk guzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1779466527452,1,begenmdim ama ben esmerim onun. için aldim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
P** Y**,1779454769035,5,Güzel sarı alt tonlu,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
A** T**,1779427525202,5,Yapısı kokusu çok güzel. Pahalı ürünlere para vermeye hiç gerek yok. Gayette tek başına iş görür.. Tekrar almayı düşünüyorum. Çok beğendim..,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1779386400097,5,Fiyatına göre böyle bir performans 🌸🌸🌸,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
m** b**,1779382189827,1,cok kurutuyor ya ne kadr nemlendirici sürsemde kuru ciltler için hiç uygun deil sevmedim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Selma A.,1779306031573,5,Harika bi fondoten sürekli kullanıcam ..,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1779278517241,5,Kapatıcılığı bana göre gayet iyi. Yüzümde gayet güzel duruyor. Ürün güzel paketlenmişti satıcıya çok teşekkür ediyorum kızlar tereddüt etmeden alabilirler.,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1779270533846,4,Uygun fiyatlı olduğu için biraz korkarak almıştım ama çok güzel kapatıyorrrr,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
D** E**,1779266731099,5,harika çok güzel bir ürün,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
N** K**,1779110362841,5,Çok beğeniyorum güzel paketlenmişti,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1779045141775,3,çok iyi değil ama fenada değil yani,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
M** E**,1778842411658,5,Tereddüt etmeden alabilirsiniz gerçekten çok güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
e** k**,1778821142670,4,Henuz denemedım ama beyaz tenlıyım ve bırebır aynı gıbı tenımle gorunuyo yaz ıcın aldım ınce bı yapısı var gıbı,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
P** F**,1778710483183,5,Çok çok beğendim tam istediğim gibi👏,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1778761427232,1,ürünüm eksik geldi palet tek geldi oda kırık,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
E** Ç**,1778694002662,5,Üste görünsün diye 5 verdim nasıl beğeniyorsunuz anlamıyorum fondöten çizgilere doluyor ve 1 numarasını almama rağmen sapsarı duruyor vasat bir ürün,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1778680957188,5,çok güzel kapatıcılığı yüksek ve saatlerce oksitlenme yapmadı. Alt yapıyı iyi nemlendirmeye gayret edin lütfen 💃,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1778677803777,5,çok iyiii baayılldımmm,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1778593008901,5,çok guzel sebdim kaliteli,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Z** A**,1778591768539,3,Çok pütürlü duruyo krem üstüne sürmeme rağmen hemde çokta tavsiye edemem açıkcası,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1778534864119,5,Harika bir ürün hemen kapatıyor cildi ben çok beğendim 😍,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Gamze G.,1778520929468,5,"Çok beğendim , kokusu , dokusu , sürüşü çok iyi . Yıkayınca da çıkmıyor. Tam bir fiyat performans ürünü. Kargolama da iyiydi. Rahatlıkla alabilirsiniz derim 🫡",Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1778335997377,5,Ürünüm geldi paketlemesi süper tam ten rengime göre kapaticiligi çok iyi tavsiye eserim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
f** t**,1778227108338,5,Beğendim güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1778191737135,4,kurtarıcı bir ürün çok mat ve kuru olması biraz hoşuma gitmiyor çünkü kuru bir cild yapım var,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
S** A**,1778156996409,5,sürekli kullandığım bi ürün fiyatı uygun almak isteyenler terettut etmeden alabilirler,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1777996567601,4,yağlı ciltliyseniz gayet kullanılabilir f p ürünü.,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1777995200670,5,Harika ürün güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1777886839947,1,2 tane sipariş ettim birtane gönderdiler,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1777639283149,5,Çok iyi kapatiyor benden 5 yildiz. Benim yüzüme çok iyi geldi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1777630383010,1,Gozumun ust kapaginda bi et beni gibi bi sey cikardi kullanmayin,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Merve B.,1777620549773,5,çok iyi ya. mükemmel👍👏,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
O** Y**,1777620118143,5,güzel kullanılır,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1777566624156,1,iki tane   sipariş verdim bir tanesi 1 numara  diğeri 2 numara olucaktı ikiside 1 numara geldi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
D** T**,1777551013226,5,Çok iyi kullanıyordum zaten,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
N** A**,1777467815802,5,Kapatılıcılıgo güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
H** İ** A**,1777467749603,2,Ürünler yanlış geldi istediklerim eksik ya ida yapalım yada eksik ürünlerim tedarik edilsin lütfen yoksa iade kodu oluşturacağım,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1777450196458,5,Gayet güzel bir ürün yıllardır kullandığım çok güvenerek aldığım bir ürün asla pütür pütür durmuyor gönül rahatlığıyla alabilirsiniz satıcıya teşekkür ederim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
R** T**,1777396964309,5,çok güzel çok beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1777388880310,5,"Çok iyi severek kullanıyorum,hediye için teşekkürler 💯💯💯",Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
F** N** Y**,1777385407216,5,ürün kapatıcılıgı gerçekten çok yuksek tek sıkıntı renk problemlemı bence,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
B** H**,1686838877983,5,Kalitesi güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
R** İ**,1685057083168,5,Iki adet satın aldim urunlerden burinin agzi açık geldi bbude renkte tutmadi guri iade ettim kabul edildimedi elimde kaldi cop oldu 5 yildiz vericem ki yorumum en üste olsun,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
b** a**,1690447182309,5,hafif bir fondöten alınabilir suratta fondöten olduğu belli olmuyor kapatıcıgi güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
B** T**,1686568734126,5,gayet iyi gözüküyor,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
D** D**,1762760371673,5,Harika teşekkür ediyorum 🙏,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
L** G**,1722538748028,3,fena değil beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Şevval Y.,1717741475241,5,yıllardır kullandığım bi ürün şöyle iyi bir indirime girse herhalde 50 100 adet Stok yapacağım ve 1 şişe bana rahat 7 8 ay gidiyor her gün makyaj yapmama rağmen kapatıcılığı da efsane diğer markalara o kadar pahalı vermeye gerek yok bence,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
p** k**,1756457076747,5,Bayıldımmmm,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1731859512816,1,kuru bir cilt istiyorsanız cildiniz sivilce yuvası olsun istiyorsanız alabilirsiniz tavsiye etmiyorum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1740390387213,5,Kızlar ürün çok güzel paketlenmiş.ve ürünün yapısı vs çok güzel bu fiyata göre. Ben 1 numaralı olanı aldım. Sadece hafif sarımtırak ama çok değil onun dışında beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
B** A**,1752310376130,5,Çok güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
d** g**,1737155930983,5,cilde yayılımı kolay ve kapatıcı özelliği fiyatına göre iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
murat t.,1686512869426,5,gayet kaliteli teşekkür ederim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
G** D**,1753517702193,4,Sürülümü çok güzel sağlam paketleme,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
B** Ş**,1734450707292,4,Kapatıcıligi güzel fiyatına göre iyi,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1740118042976,5,çok beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
G** B**,1698617374905,5,Beklediğimden iyi çıktı,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
H** İ**,1715976909910,5,iyi fiyat teşekkürler,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1776781511177,5,severek kullanıyorum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
F** Ü**,1741298632998,5,Severwk kullanıyorm,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1735995205444,3,Orta diyelim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
S** M**,1701281477489,5,Harikaaaaaaa,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Merve D.,1776748461788,3,güzel sürekli kullanıyorum,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Gül M.,1685689978122,5,Stok yapmalık krem,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
A** B**,1737348004433,5,Yapısı güzel,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
B** K**,1717834388165,5,Güzel ben beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
D** İ**,1751923917134,5,Güzel fp ürünü,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Y** Y**,1765724180433,5,Çok iyi ürün,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
e** b** B**,1766679036304,4,güzel beğendim,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
Y** N**,1717794061655,5,beğendim tsk,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
ö** y** d**,1713819258764,5,süperrr çok güzel bayıldımm,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
**** ****,1686945533704,2,Açık tenli olanlara tavsiye etmiyorum tenime 01 koyu geldı lakin kaliteli birleşe benziyor,Gabrini,Gabrini HD Matte,gabrini_hd_matte_fondoten_yorumlari.csv
